ablation,omega_name,omega_idx,seed,hv,mean_lat_ms,p99_lat_ms,peak_mem_util,mean_energy_j,n_steps
resource_manager,time,1,0,0.0002045579154404846,0.05520566254416362,0.0659652054309845,0.22499999999999998,0.0013428011753183159,1021
resource_manager,time,1,1,0.00017006623420296542,0.05540825957737447,0.06893137469887728,0.22499999999999998,0.0013371868978805399,1038
resource_manager,time,1,2,0.00016995697173657478,0.05542373137552155,0.06541687995195387,0.22499999999999998,0.0013371868978805399,1038
resource_manager,memory,2,0,0.0002045739380539238,0.05538409519265611,0.06690472364425658,0.22499999999999998,0.0013428011753183159,1021
resource_manager,memory,2,1,0.00017016581250340018,0.05528028796001666,0.06629286333918571,0.22499999999999998,0.0013371868978805399,1038
resource_manager,memory,2,2,0.0001700365219197429,0.05551422937182792,0.0667774863541126,0.22499999999999998,0.0013371868978805399,1038
resource_manager,energy,3,0,0.00020465319627523728,0.05519218618792722,0.06759054958820343,0.22499999999999998,0.0013428011753183159,1021
resource_manager,energy,3,1,0.00017009843723987377,0.05529368716168266,0.06633333861827846,0.22499999999999998,0.0013371868978805399,1038
resource_manager,energy,3,2,0.0001700841772962207,0.055179109362623366,0.06618604063987728,0.22499999999999998,0.0013371868978805399,1038
resource_manager,center,4,0,0.0002525212389456839,0.05507060860889501,0.06677642464637754,0.22499999999999998,0.0012625800548947852,1093
resource_manager,center,4,1,0.0002812850305421322,0.05505656557423728,0.06573095917701721,0.22000000000000003,0.0012657142857142858,1050
resource_manager,center,4,2,0.00028107474026225045,0.05516483390127685,0.06598230451345444,0.22000000000000003,0.001263757115749526,1054
override_layer,reward,0,0,0.0004940399213102647,0.05131349997951629,0.06216445937752724,0.13,0.0010000000000000005,470
override_layer,reward,0,1,0.0004940524063413032,0.05106327848301993,0.0651620514690876,0.125,0.0010000000000000005,468
override_layer,reward,0,2,0.0004939421746172012,0.05139194381160614,0.062457080930471386,0.125,0.0010000000000000005,468
override_layer,time,1,0,0.00014642248214781278,0.05101205168336565,0.06142493337392807,0.17,0.002000000000000001,459
override_layer,time,1,1,0.00014636330972777465,0.051409878854896396,0.06472468376159664,0.17,0.002000000000000001,461
override_layer,time,1,2,0.00014632628874549703,0.05192524973715205,0.06897263228893274,0.17,0.002000000000000001,461
override_layer,memory,2,0,0.00014635180957978697,0.05146195961888839,0.06667524576187137,0.17,0.002000000000000001,459
override_layer,memory,2,1,0.00014638868476822965,0.05134740549416449,0.06311573088169097,0.17,0.002000000000000001,461
override_layer,memory,2,2,0.00014634398116392108,0.05152752853267364,0.06507560610771176,0.17,0.002000000000000001,461
override_layer,energy,3,0,0.00014636829200069654,0.05134423151774604,0.06221361458301546,0.17,0.002000000000000001,459
override_layer,energy,3,1,0.0001463218576191567,0.05140797984574208,0.06296262145042418,0.17,0.002000000000000001,461
override_layer,energy,3,2,0.00014637092350391133,0.051298427219763236,0.06195195019245147,0.17,0.002000000000000001,461
override_layer,center,4,0,0.0002056947344410713,0.05092257007093683,0.06122697144746781,0.27499999999999997,0.0017683881064162756,639
override_layer,center,4,1,0.0003190046586160842,0.050994290376272726,0.06150264292955398,0.215,0.0017574803149606301,635
override_layer,center,4,2,0.00022946974603186283,0.050898087934745886,0.06404761224985124,0.345,0.0017317744154057776,727
