algo,wrapper,seed,status,wall_time_s,n_episodes,framework_overhead_pct,mean_p99_step_ms,mean_energy_j,peak_gpu_memory_mb,peak_memory_mb,final_reward,time_to_converge_steps,reason
c51,maxa,2,COMPLETED,1690.4800884160213,446,97.09052300842795,12.709632689366117,0.0015375800000000004,0.0,0.0,77.2,124,
c51,maxp,0,COMPLETED,1696.2889451839728,3308,97.19421376044774,12.853634209022864,0.0013485800000000003,0.0,0.0,9.4,134,
c51,maxp,1,COMPLETED,1689.1521311039687,480,97.17034064583532,12.967912345775412,0.0015335000000000006,0.0,0.0,98.1,123,
c51,maxp,2,COMPLETED,1692.2185002879705,446,97.12048104169835,12.917398784775292,0.0015375800000000004,0.0,0.0,77.2,124,
c51,r3,0,COMPLETED,1868.0478385280003,546,96.64872873163375,12.821192689007157,0.0015469800000000008,0.0,0.0,78.6,133,
c51,r3,1,COMPLETED,1872.518950592028,536,96.58249284461031,12.957233869819905,0.0015607200000000002,0.0,0.0,93.4,114,
c51,r3,2,COMPLETED,1854.536507360055,606,96.60913290514237,12.948343054740695,0.0015469400000000008,0.0,0.0,82.6,144,
c51,tetrarl,0,COMPLETED,1694.111964671989,3308,97.15063882334087,12.727664281846959,0.0013485800000000003,0.0,0.0,9.4,134,
c51,tetrarl,1,COMPLETED,1705.1693351359572,480,97.13927625723231,12.79271770443304,0.0015335000000000006,0.0,0.0,98.1,123,
c51,tetrarl,2,COMPLETED,1868.3109820160316,446,97.01982348729193,11.48694846720903,0.0015375800000000004,0.0,0.0,77.2,124,
ddqn,duojoule,0,COMPLETED,1354.930568063981,260,95.63157442696499,8.343971145222902,0.0014933600000000004,0.0,0.0,390.6,220,
ddqn,duojoule,1,COMPLETED,1367.9522734399652,469,95.67914198471225,8.612193939043228,0.0015010800000000003,0.0,0.0,14.2,257,
ddqn,duojoule,2,COMPLETED,1390.4013338880031,690,95.71616712229805,8.672967651509689,0.0014876200000000005,0.0,0.0,183.9,554,
ddqn,maxa,0,COMPLETED,1202.9605971520068,269,95.65583473485536,8.10122659720947,0.00149722,0.0,0.0,389.9,225,
ddqn,maxa,1,COMPLETED,1229.4035181759973,377,95.74578128062545,8.767979242838921,0.0014801000000000005,0.0,0.0,150.0,342,
ddqn,maxa,2,COMPLETED,1203.231248735974,382,95.61837127469785,8.8359059445793,0.0015167600000000005,0.0,0.0,69.0,183,
ddqn,maxp,0,COMPLETED,1217.673836224014,269,95.75238255433351,8.829761878005229,0.00149722,0.0,0.0,389.9,225,
ddqn,maxp,1,COMPLETED,1217.3526569919777,377,95.76547000876711,8.753598990151685,0.0014801000000000005,0.0,0.0,150.0,342,
ddqn,maxp,2,COMPLETED,1210.3511585600208,382,95.64352503343467,8.596459892578425,0.0015167600000000005,0.0,0.0,69.0,183,
ddqn,r3,0,COMPLETED,1378.5010187199805,260,95.68737304674362,8.84160316432827,0.0014933600000000004,0.0,0.0,390.6,220,
ddqn,r3,1,COMPLETED,1368.7171060160035,469,95.66294333917155,8.555405141669334,0.0015010800000000003,0.0,0.0,14.2,257,
