frame_idx,timestamp_s,latency_ms
1843,10444961.680923,6.790
1844,10444961.714348,6.809
1845,10444961.747277,6.333
1846,10444961.781318,6.965
1847,10444961.814278,6.518
1848,10444961.848265,7.099
1849,10444961.881432,6.859
1850,10444961.914278,6.298
1851,10444961.948294,6.852
1852,10444961.981295,6.446
1853,10444962.015710,7.453
1854,10444962.048172,6.510
1855,10444962.082782,7.709
1856,10444962.115717,7.226
1857,10444962.148659,6.760
1858,10444962.182115,6.807
1859,10444962.215650,6.935
1860,10444962.249567,7.443
1861,10444962.281954,6.375
1862,10444962.316514,7.526
1863,10444962.351193,8.796
1864,10444962.383937,8.132
1865,10444962.416280,7.071
1866,10444962.451118,8.504
1867,10444962.483856,7.835
1868,10444962.516180,6.755
1869,10444962.550932,8.101
1870,10444962.583308,7.070
1871,10444962.618097,8.408
1872,10444962.649986,6.888
1873,10444962.684575,8.066
1874,10444962.716885,6.965
1875,10444962.749939,6.605
1876,10444962.783050,6.308
1877,10444962.816642,6.489
1878,10444962.849909,6.346
1879,10444962.883279,6.309
1880,10444962.917545,7.164
1881,10444962.950707,6.847
1882,10444962.983575,6.306
1883,10444963.017661,6.984
1884,10444963.050645,6.561
1885,10444963.083838,6.347
1886,10444963.117272,6.374
1887,10444963.151203,6.897
1888,10444963.184974,7.260
1889,10444963.217980,6.859
1890,10444963.251318,6.790
1891,10444963.284315,6.334
1892,10444963.318366,6.977
1893,10444963.351630,6.829
1894,10444963.385126,6.917
1895,10444963.418493,6.876
1896,10444963.451911,6.888
1897,10444963.486346,7.916
1898,10444963.518670,6.833
1899,10444963.553512,8.270
1900,10444963.586188,7.539
1901,10444963.618531,6.429
1902,10444963.653345,7.837
1903,10444963.685696,6.780
1904,10444963.720456,8.132
1905,10444963.752799,7.068
1906,10444963.787591,8.454
1907,10444963.819424,6.877
1908,10444963.853772,7.810
1909,10444963.885730,6.358
1910,10444963.919015,6.235
1911,10444963.953165,6.919
1912,10444963.986363,6.709
1913,10444964.019349,6.286
1914,10444964.052828,6.358
1915,10444964.087278,7.395
1916,10444964.121762,8.465
1917,10444964.153774,7.061
1918,10444964.188718,8.590
1919,10444964.220978,7.432
1920,10444964.254152,7.188
1921,10444964.287141,6.707
1922,10444964.320800,6.945
1923,10444964.355301,8.026
1924,10444964.389150,8.456
1925,10444964.420895,6.786
1926,10444964.454752,7.230
1927,10444964.488013,7.080
1928,10444964.521171,6.830
1929,10444964.554129,6.376
1930,10444964.588841,7.672
1931,10444964.621019,6.387
1932,10444964.656401,8.378
1933,10444964.689080,7.649
1934,10444964.721410,6.573
1935,10444964.756302,8.058
1936,10444964.788624,6.971
1937,10444964.823457,8.396
1938,10444964.856168,7.701
1939,10444964.888488,6.614
1940,10444964.923227,7.948
1941,10444964.955585,6.816
1942,10444964.989469,7.294
1943,10444965.021967,6.388
1944,10444965.055497,6.508
1945,10444965.088931,6.531
1946,10444965.123063,7.253
1947,10444965.155591,6.371
1948,10444965.189463,6.837
1949,10444965.222883,6.866
1950,10444965.256177,6.751
1951,10444965.289776,6.889
1952,10444965.322551,6.257
1953,10444965.356556,6.851
1954,10444965.390315,7.202
1955,10444965.423190,6.668
1956,10444965.457151,7.222
1957,10444965.490187,6.848
1958,10444965.523616,6.869
1959,10444965.556502,6.347
1960,10444965.590830,7.266
1961,10444965.624223,7.205
1962,10444965.657375,6.945
1963,10444965.690437,6.600
1964,10444965.724096,6.849
1965,10444965.757377,6.722
1966,10444965.790869,6.805
1967,10444965.824932,7.458
1968,10444965.858972,8.087
1969,10444965.891310,7.016
1970,10444965.926112,8.409
1971,10444965.958825,7.667
1972,10444965.991207,6.642
1973,10444966.026012,8.040
1974,10444966.058515,7.137
1975,10444966.095142,10.351
1976,10444966.128547,10.346
1977,10444966.158657,7.041
1978,10444966.193915,8.886
1979,10444966.225655,7.211
1980,10444966.260321,8.460
1981,10444966.294314,8.983
1982,10444966.326450,7.701
1983,10444966.359566,7.398
1984,10444966.395055,9.469
1985,10444966.426071,7.067
1986,10444966.461382,8.961
1987,10444966.493020,7.179
1988,10444966.526496,7.238
1989,10444966.561286,8.608
1990,10444966.593008,6.913
1991,10444966.628126,8.559
1992,10444966.659894,6.908
1993,10444966.693663,7.263
1994,10444966.728761,8.942
1995,10444966.762406,9.170
1996,10444966.793394,6.746
1997,10444966.826959,6.943
1998,10444966.860942,7.515
1999,10444966.893356,6.522
2000,10444966.926653,6.410
2001,10444966.959961,6.255
2002,10444966.994024,6.905
2003,10444967.027132,6.604
2004,10444967.060857,6.921
2005,10444967.095216,7.872
2006,10444967.127545,6.789
2007,10444967.162306,8.142
2008,10444967.194660,7.089
2009,10444967.229455,8.477
2010,10444967.262207,7.818
2011,10444967.294553,6.703
2012,10444967.329311,8.051
2013,10444967.361695,7.029
2014,10444967.396497,8.426
2015,10444967.428171,6.695
2016,10444967.461358,6.473
2017,10444967.495427,7.129
2018,10444967.528528,6.824
2019,10444967.561949,6.835
2020,10444967.595501,6.980
2021,10444967.628503,6.521
2022,10444967.662643,7.255
2023,10444967.695175,6.380
2024,10444967.729104,6.902
2025,10444967.762042,6.431
2026,10444967.795609,6.590
2027,10444967.828919,6.494
2028,10444967.862304,6.465
2029,10444967.896896,7.638
2030,10444967.929307,6.642
2031,10444967.964741,8.596
2032,10444967.997431,7.875
2033,10444968.029749,6.784
2034,10444968.064839,8.469
2035,10444968.099116,9.335
2036,10444968.132629,9.434
2037,10444968.166656,10.049
2038,10444968.197959,7.938
2039,10444968.234407,10.965
2040,10444968.265135,8.275
2041,10444968.298026,7.691
2042,10444968.332547,8.799
2043,10444968.365378,8.219
2044,10444968.400346,9.774
2045,10444968.433718,9.729
2046,10444968.465419,8.017
2047,10444968.498825,8.008
2048,10444968.531624,7.392
2049,10444968.564755,7.107
2050,10444968.598398,7.334
2051,10444968.631820,7.290
2052,10444968.666784,8.835
2053,10444968.699557,8.192
2054,10444968.732730,7.950
2055,10444968.765849,7.653
2056,10444968.798050,6.441
2057,10444968.832165,7.146
2058,10444968.864802,6.374
2059,10444968.899054,7.216
2060,10444968.933279,8.031
2061,10444968.965439,6.733
2062,10444968.999317,7.203
2063,10444969.031888,6.365
2064,10444969.065839,6.909
2065,10444969.099082,6.744
2066,10444969.132088,6.343
2067,10444969.165758,6.602
2068,10444969.199368,6.802
2069,10444969.232998,7.024
2070,10444969.266847,7.463
2071,10444969.299410,6.569
2072,10444969.332964,6.715
2073,10444969.367737,8.079
2074,10444969.400126,7.061
2075,10444969.434909,8.435
2076,10444969.467667,7.788
2077,10444969.500017,6.731
2078,10444969.534805,8.113
2079,10444969.567161,7.065
2080,10444969.601961,8.459
2081,10444969.633204,6.248
2082,10444969.666756,6.389
2083,10444969.700593,6.817
2084,10444969.734028,6.845
2085,10444969.767317,6.725
2086,10444969.800306,6.305
2087,10444969.833693,6.278
2088,10444969.867869,7.039
2089,10444969.900562,6.324
2090,10444969.934863,7.209
2091,10444969.968112,6.967
2092,10444970.001397,6.844
2093,10444970.034348,6.384
2094,10444970.070786,9.410
2095,10444970.104835,10.044
2096,10444970.138293,10.085
2097,10444970.168817,7.192
2098,10444970.206075,11.035
2099,10444970.236029,7.573
2100,10444970.270607,8.733
2101,10444970.302475,7.132
2102,10444970.336051,7.291
2103,10444970.370231,8.045
2104,10444970.403441,7.836
2105,10444970.435960,6.938
2106,10444970.471125,8.690
2107,10444970.503258,7.404
2108,10444970.537660,8.390
2109,10444970.573269,10.581
2110,10444970.603356,7.252
2111,10444970.640509,10.939
2112,10444970.674179,11.190
2113,10444970.706363,9.959
2114,10444970.736845,7.026
2115,10444970.773814,10.582
2116,10444970.804310,7.666
2117,10444970.836650,6.594
