step,component,elapsed_ns,mem_delta_bytes,rss_delta_bytes
34,dvfs_controller_set,1031488,717,0
35,preference_plane_get,8448,164,0
35,tegra_daemon_sample,30272,204,0
35,rl_arbiter_act,54976,284,0
35,override_layer_step,10208,217,0
35,resource_manager_decide,12480,52,0
35,dvfs_controller_set,1024384,717,0
36,preference_plane_get,8288,164,0
36,tegra_daemon_sample,29568,204,0
36,rl_arbiter_act,53440,284,0
36,override_layer_step,10144,217,0
36,resource_manager_decide,13216,503,0
36,dvfs_controller_set,1036480,653,0
37,preference_plane_get,8736,164,0
37,tegra_daemon_sample,30784,204,0
37,rl_arbiter_act,54144,284,0
37,override_layer_step,10464,217,0
37,resource_manager_decide,12256,52,0
37,dvfs_controller_set,1070208,717,0
38,preference_plane_get,8416,164,0
38,tegra_daemon_sample,30048,204,0
38,rl_arbiter_act,52928,284,0
38,override_layer_step,9984,217,0
38,resource_manager_decide,12288,52,0
38,dvfs_controller_set,1030624,717,0
39,preference_plane_get,8768,164,0
39,tegra_daemon_sample,29632,204,0
39,rl_arbiter_act,54336,284,0
39,override_layer_step,9952,217,0
39,resource_manager_decide,12256,52,0
39,dvfs_controller_set,1065600,717,0
40,preference_plane_get,8800,164,0
40,tegra_daemon_sample,29248,204,0
40,rl_arbiter_act,55488,220,0
40,override_layer_step,10720,217,0
40,resource_manager_decide,12768,52,0
40,dvfs_controller_set,1025280,717,0
41,preference_plane_get,8704,164,0
41,tegra_daemon_sample,30624,204,0
41,rl_arbiter_act,53376,284,0
41,override_layer_step,9984,217,0
41,resource_manager_decide,12256,52,0
41,dvfs_controller_set,1026272,717,0
42,preference_plane_get,7840,164,0
42,tegra_daemon_sample,29120,204,0
42,rl_arbiter_act,53472,284,0
42,override_layer_step,10048,217,0
42,resource_manager_decide,12608,52,0
42,dvfs_controller_set,1032800,717,0
43,preference_plane_get,8352,164,0
43,tegra_daemon_sample,29632,204,0
43,rl_arbiter_act,54496,284,0
43,override_layer_step,10336,217,0
43,resource_manager_decide,12576,52,0
43,dvfs_controller_set,1288896,956,0
44,preference_plane_get,8896,164,0
44,tegra_daemon_sample,30304,204,0
44,rl_arbiter_act,55328,284,0
44,override_layer_step,10208,217,0
44,resource_manager_decide,13440,52,0
44,dvfs_controller_set,1020256,717,0
45,preference_plane_get,8512,164,0
45,tegra_daemon_sample,29920,204,0
45,rl_arbiter_act,54336,284,0
45,override_layer_step,10496,217,0
45,resource_manager_decide,12608,52,0
45,dvfs_controller_set,1020288,717,0
46,preference_plane_get,8768,164,0
46,tegra_daemon_sample,30592,204,0
46,rl_arbiter_act,53952,284,0
46,override_layer_step,10464,217,0
46,resource_manager_decide,12896,52,0
46,dvfs_controller_set,1029280,717,0
47,preference_plane_get,8352,164,0
47,tegra_daemon_sample,29632,204,0
47,rl_arbiter_act,56704,284,0
47,override_layer_step,10048,217,0
47,resource_manager_decide,12736,52,0
47,dvfs_controller_set,1092896,717,0
48,preference_plane_get,8672,164,0
48,tegra_daemon_sample,30784,204,0
48,rl_arbiter_act,55200,284,0
48,override_layer_step,10016,217,0
48,resource_manager_decide,12000,52,0
48,dvfs_controller_set,1062368,717,0
49,preference_plane_get,8800,164,0
49,tegra_daemon_sample,29344,204,0
49,rl_arbiter_act,53632,284,0
49,override_layer_step,10144,217,0
49,resource_manager_decide,12096,52,0
49,dvfs_controller_set,1023328,717,0
50,preference_plane_get,8416,164,0
50,tegra_daemon_sample,29344,204,0
50,rl_arbiter_act,53920,284,0
50,override_layer_step,10720,217,0
50,resource_manager_decide,12352,52,0
50,dvfs_controller_set,1045600,717,0
51,preference_plane_get,8544,568,0
51,tegra_daemon_sample,30624,140,0
51,rl_arbiter_act,55808,284,0
51,override_layer_step,10048,217,0
51,resource_manager_decide,12768,52,0
51,dvfs_controller_set,1026880,717,0
52,preference_plane_get,8416,164,0
52,tegra_daemon_sample,29280,204,0
52,rl_arbiter_act,53472,284,0
52,override_layer_step,9760,217,0
52,resource_manager_decide,12416,52,0
52,dvfs_controller_set,1076512,717,0
53,preference_plane_get,8736,164,0
53,tegra_daemon_sample,29504,204,0
53,rl_arbiter_act,53152,284,0
53,override_layer_step,10272,217,0
53,resource_manager_decide,12128,52,0
53,dvfs_controller_set,1050624,717,0
54,preference_plane_get,8064,164,0
54,tegra_daemon_sample,29824,204,0
54,rl_arbiter_act,54848,284,0
54,override_layer_step,10016,217,0
54,resource_manager_decide,12608,52,0
54,dvfs_controller_set,1043360,717,0
55,preference_plane_get,8544,164,0
55,tegra_daemon_sample,31008,204,0
55,rl_arbiter_act,54688,284,0
55,override_layer_step,11360,893,0
55,resource_manager_decide,13024,52,0
55,dvfs_controller_set,1031520,519,0
56,preference_plane_get,8864,164,0
56,tegra_daemon_sample,30624,204,0
56,rl_arbiter_act,55360,284,0
56,override_layer_step,9792,284,0
56,resource_manager_decide,12768,52,0
56,dvfs_controller_set,1023168,650,0
57,preference_plane_get,8448,164,0
57,tegra_daemon_sample,29216,204,0
57,rl_arbiter_act,53856,284,0
57,override_layer_step,10048,217,0
57,resource_manager_decide,12288,52,0
57,dvfs_controller_set,1027680,717,0
58,preference_plane_get,8608,164,0
58,tegra_daemon_sample,30496,204,0
58,rl_arbiter_act,53088,284,0
58,override_layer_step,10176,217,0
58,resource_manager_decide,12448,52,0
58,dvfs_controller_set,1295552,962,0
59,preference_plane_get,8352,164,0
59,tegra_daemon_sample,31456,204,0
59,rl_arbiter_act,55168,284,0
59,override_layer_step,10336,217,0
59,resource_manager_decide,12864,52,0
59,dvfs_controller_set,1026240,717,0
60,preference_plane_get,8672,164,0
60,tegra_daemon_sample,30144,204,0
60,rl_arbiter_act,54624,284,0
60,override_layer_step,10176,217,0
60,resource_manager_decide,13216,52,0
60,dvfs_controller_set,1039680,717,0
61,preference_plane_get,8384,164,0
61,tegra_daemon_sample,29920,204,0
61,rl_arbiter_act,54048,284,0
61,override_layer_step,10304,217,0
61,resource_manager_decide,12384,52,0
61,dvfs_controller_set,1039744,717,0
62,preference_plane_get,8960,164,0
62,tegra_daemon_sample,30176,204,0
62,rl_arbiter_act,53376,284,0
62,override_layer_step,9984,217,0
62,resource_manager_decide,13376,542,0
62,dvfs_controller_set,1038624,589,0
63,preference_plane_get,8544,164,0
63,tegra_daemon_sample,30368,204,0
63,rl_arbiter_act,54016,284,0
63,override_layer_step,9792,217,0
63,resource_manager_decide,11776,52,0
63,dvfs_controller_set,1053920,717,0
64,preference_plane_get,9312,164,0
64,tegra_daemon_sample,30432,204,0
64,rl_arbiter_act,54944,284,0
64,override_layer_step,10112,217,0
64,resource_manager_decide,12320,52,0
64,dvfs_controller_set,1157248,717,0
65,preference_plane_get,8864,164,0
65,tegra_daemon_sample,31424,204,0
65,rl_arbiter_act,54496,284,0
65,override_layer_step,9472,217,0
65,resource_manager_decide,12480,52,0
65,dvfs_controller_set,1292256,938,0
66,preference_plane_get,9088,164,0
66,tegra_daemon_sample,30976,204,0
66,rl_arbiter_act,54688,284,0
66,override_layer_step,10304,217,0
66,resource_manager_decide,13248,52,0
66,dvfs_controller_set,1025536,717,0
67,preference_plane_get,8480,164,0
67,tegra_daemon_sample,30496,204,0
67,rl_arbiter_act,56864,284,0
67,override_layer_step,9888,217,0
67,resource_manager_decide,12384,52,0
67,dvfs_controller_set,1025600,784,0
68,preference_plane_get,8416,164,0
68,tegra_daemon_sample,29760,204,0
68,rl_arbiter_act,54880,284,0
68,override_layer_step,10048,217,0
68,resource_manager_decide,12928,52,0
68,dvfs_controller_set,1030848,717,0
69,preference_plane_get,8224,164,0
69,tegra_daemon_sample,30656,204,0
69,rl_arbiter_act,54592,284,0
69,override_layer_step,9664,217,0
69,resource_manager_decide,38560,52,0
69,dvfs_controller_set,1032352,488,0
70,preference_plane_get,8544,164,0
70,tegra_daemon_sample,30368,204,0
70,rl_arbiter_act,54688,284,0
70,override_layer_step,10048,217,0
70,resource_manager_decide,12704,52,0
70,dvfs_controller_set,1039904,717,0
71,preference_plane_get,8736,164,0
71,tegra_daemon_sample,30080,204,0
71,rl_arbiter_act,54336,284,0
71,override_layer_step,9664,217,0
71,resource_manager_decide,12256,52,0
71,dvfs_controller_set,1016064,784,0
72,preference_plane_get,8608,164,0
72,tegra_daemon_sample,30400,204,0
72,rl_arbiter_act,54400,284,0
72,override_layer_step,10112,217,0
72,resource_manager_decide,12384,52,0
72,dvfs_controller_set,1037984,717,0
73,preference_plane_get,8832,164,0
73,tegra_daemon_sample,29600,204,0
73,rl_arbiter_act,56064,220,0
73,override_layer_step,10336,217,0
73,resource_manager_decide,12704,52,0
73,dvfs_controller_set,1022272,784,0
74,preference_plane_get,8672,164,0
74,tegra_daemon_sample,30144,204,0
74,rl_arbiter_act,54336,284,0
74,override_layer_step,9888,217,0
74,resource_manager_decide,12288,52,0
74,dvfs_controller_set,1028896,717,0
75,preference_plane_get,8416,164,0
75,tegra_daemon_sample,30464,204,0
75,rl_arbiter_act,55264,284,0
75,override_layer_step,9728,217,0
75,resource_manager_decide,12256,52,0
75,dvfs_controller_set,1045088,784,0
76,preference_plane_get,8896,164,0
76,tegra_daemon_sample,30400,204,0
76,rl_arbiter_act,55136,284,0
76,override_layer_step,10208,217,0
76,resource_manager_decide,12224,52,0
76,dvfs_controller_set,1303392,1029,0
77,preference_plane_get,9152,164,0
77,tegra_daemon_sample,30304,204,0
77,rl_arbiter_act,54912,284,0
77,override_layer_step,10368,217,0
77,resource_manager_decide,12928,52,0
77,dvfs_controller_set,1023328,717,0
78,preference_plane_get,8640,164,0
78,tegra_daemon_sample,30528,204,0
78,rl_arbiter_act,55104,284,0
78,override_layer_step,10304,217,0
78,resource_manager_decide,12192,52,0
