step,component,elapsed_ns,mem_delta_bytes,rss_delta_bytes
39,lag_feature_extract,89760,848,0
39,preference_plane_get,8672,156,0
39,tegra_daemon_sample,25952,140,0
39,rl_arbiter_act,10368,52,0
39,override_layer_step,7008,116,0
39,resource_manager_decide,11104,116,0
39,dvfs_controller_set,22016,379,0
40,replay_buffer_add,223776,458,0
40,lag_feature_extract,82240,848,0
40,preference_plane_get,8640,156,0
40,tegra_daemon_sample,26432,140,0
40,rl_arbiter_act,10272,52,0
40,override_layer_step,7232,116,0
40,resource_manager_decide,10496,116,0
40,dvfs_controller_set,21856,379,0
41,replay_buffer_add,228768,458,0
41,lag_feature_extract,82976,848,0
41,preference_plane_get,8192,156,0
41,tegra_daemon_sample,28384,140,0
41,rl_arbiter_act,10240,52,0
41,override_layer_step,7296,116,0
41,resource_manager_decide,11104,116,0
41,dvfs_controller_set,21312,452,0
42,replay_buffer_add,253440,458,0
42,lag_feature_extract,83712,848,0
42,preference_plane_get,8448,156,0
42,tegra_daemon_sample,27040,140,0
42,rl_arbiter_act,10464,52,0
42,override_layer_step,7392,116,0
42,resource_manager_decide,11680,116,0
42,dvfs_controller_set,21280,452,0
43,replay_buffer_add,231776,458,0
43,lag_feature_extract,82720,848,0
43,preference_plane_get,8608,156,0
43,tegra_daemon_sample,25920,140,0
43,rl_arbiter_act,10656,52,0
43,override_layer_step,7552,116,0
43,resource_manager_decide,11200,116,0
43,dvfs_controller_set,20704,452,0
44,replay_buffer_add,228032,458,0
44,lag_feature_extract,82528,848,0
44,preference_plane_get,8288,156,0
44,tegra_daemon_sample,26560,140,0
44,rl_arbiter_act,10560,52,0
44,override_layer_step,7232,116,0
44,resource_manager_decide,11392,116,0
44,dvfs_controller_set,20960,452,0
45,replay_buffer_add,222880,458,0
45,lag_feature_extract,88448,848,0
45,preference_plane_get,8256,156,0
45,tegra_daemon_sample,26752,140,0
45,rl_arbiter_act,10048,52,0
45,override_layer_step,6976,116,0
45,resource_manager_decide,11488,116,0
45,dvfs_controller_set,20608,452,0
46,replay_buffer_add,225376,664,0
46,lag_feature_extract,81920,784,0
46,preference_plane_get,8192,156,0
46,tegra_daemon_sample,26176,140,0
46,rl_arbiter_act,10208,52,0
46,override_layer_step,7648,116,0
46,resource_manager_decide,11072,116,0
46,dvfs_controller_set,20864,452,0
47,replay_buffer_add,232032,458,0
47,lag_feature_extract,81920,848,0
47,preference_plane_get,8128,156,0
47,tegra_daemon_sample,26272,140,0
47,rl_arbiter_act,11008,52,0
47,override_layer_step,7392,116,0
47,resource_manager_decide,11360,116,0
47,dvfs_controller_set,20448,452,0
48,replay_buffer_add,226432,458,0
48,lag_feature_extract,81248,848,0
48,preference_plane_get,8160,156,0
48,tegra_daemon_sample,26240,140,0
48,rl_arbiter_act,9920,52,0
48,override_layer_step,7168,116,0
48,resource_manager_decide,11008,116,0
48,dvfs_controller_set,20736,452,0
49,replay_buffer_add,242720,458,0
49,lag_feature_extract,82784,848,0
49,preference_plane_get,8128,156,0
49,tegra_daemon_sample,26848,140,0
49,rl_arbiter_act,9760,52,0
49,override_layer_step,7360,116,0
49,resource_manager_decide,11040,116,0
49,dvfs_controller_set,20480,452,0
50,replay_buffer_add,231200,458,0
50,lag_feature_extract,81856,848,0
50,preference_plane_get,8576,156,688128
50,tegra_daemon_sample,27488,140,0
50,rl_arbiter_act,10944,52,0
50,override_layer_step,7392,52,0
50,resource_manager_decide,11584,116,0
50,dvfs_controller_set,21952,452,0
51,replay_buffer_add,246400,458,0
51,lag_feature_extract,88448,848,0
51,preference_plane_get,7808,156,0
51,tegra_daemon_sample,26496,140,0
51,rl_arbiter_act,10432,52,0
51,override_layer_step,7296,116,0
51,resource_manager_decide,11072,116,0
51,dvfs_controller_set,21504,452,0
52,replay_buffer_add,307232,385,0
52,lag_feature_extract,93184,848,0
52,preference_plane_get,8128,156,0
52,tegra_daemon_sample,26240,140,0
52,rl_arbiter_act,10016,52,0
52,override_layer_step,7168,116,0
52,resource_manager_decide,11072,116,0
52,dvfs_controller_set,20800,452,0
53,replay_buffer_add,228256,385,0
53,lag_feature_extract,82688,848,0
53,preference_plane_get,8128,156,0
53,tegra_daemon_sample,26240,140,0
53,rl_arbiter_act,10560,52,0
53,override_layer_step,7168,116,0
53,resource_manager_decide,10976,116,0
53,dvfs_controller_set,21472,452,0
54,replay_buffer_add,227776,385,0
54,lag_feature_extract,81696,848,0
54,preference_plane_get,8576,156,0
54,tegra_daemon_sample,26336,140,0
54,rl_arbiter_act,11200,52,0
54,override_layer_step,6976,116,0
54,resource_manager_decide,11136,116,0
54,dvfs_controller_set,21312,452,0
55,replay_buffer_add,457536,583,0
55,lag_feature_extract,92448,848,0
55,preference_plane_get,8544,156,0
55,tegra_daemon_sample,27136,140,0
55,rl_arbiter_act,10272,52,0
55,override_layer_step,7072,116,0
55,resource_manager_decide,11392,116,0
55,dvfs_controller_set,21280,452,0
56,replay_buffer_add,228416,326,0
56,lag_feature_extract,82048,848,0
56,preference_plane_get,8224,156,0
56,tegra_daemon_sample,25984,140,0
56,rl_arbiter_act,10144,52,0
56,override_layer_step,7200,116,0
56,resource_manager_decide,10848,116,0
56,dvfs_controller_set,20768,452,0
57,replay_buffer_add,225056,385,0
57,lag_feature_extract,89952,848,0
57,preference_plane_get,8704,156,0
57,tegra_daemon_sample,26400,140,0
57,rl_arbiter_act,10496,52,0
57,override_layer_step,7200,116,0
57,resource_manager_decide,10784,116,0
57,dvfs_controller_set,21024,452,0
58,replay_buffer_add,226944,385,0
58,lag_feature_extract,83744,848,0
58,preference_plane_get,8672,156,0
58,tegra_daemon_sample,27168,140,0
58,rl_arbiter_act,10112,52,0
58,override_layer_step,7040,116,0
58,resource_manager_decide,11520,116,0
58,dvfs_controller_set,21600,452,0
59,replay_buffer_add,224320,385,0
59,lag_feature_extract,90432,848,0
59,preference_plane_get,8448,156,0
59,tegra_daemon_sample,26464,140,0
59,rl_arbiter_act,9952,52,0
59,override_layer_step,6912,116,0
59,resource_manager_decide,12192,52,0
59,dvfs_controller_set,22848,452,0
60,replay_buffer_add,233600,385,0
60,lag_feature_extract,83264,848,0
60,preference_plane_get,8544,156,0
60,tegra_daemon_sample,27008,140,0
60,rl_arbiter_act,12224,-7,0
60,override_layer_step,7296,116,0
60,resource_manager_decide,10848,116,0
60,dvfs_controller_set,21856,452,0
61,replay_buffer_add,223584,385,0
61,lag_feature_extract,82496,848,0
61,preference_plane_get,8384,156,0
61,tegra_daemon_sample,26720,140,0
61,rl_arbiter_act,10848,-7,0
61,override_layer_step,7360,116,0
61,resource_manager_decide,11360,116,0
61,dvfs_controller_set,20928,452,0
62,replay_buffer_add,226656,385,0
62,lag_feature_extract,82112,848,0
62,preference_plane_get,8288,156,0
62,tegra_daemon_sample,27616,140,0
62,rl_arbiter_act,11072,-7,0
62,override_layer_step,7264,116,0
62,resource_manager_decide,11264,116,0
62,dvfs_controller_set,20992,452,0
63,replay_buffer_add,228224,458,0
63,lag_feature_extract,83392,848,0
63,preference_plane_get,8608,156,0
63,tegra_daemon_sample,26496,140,0
63,rl_arbiter_act,11360,-7,0
63,override_layer_step,7168,116,0
63,resource_manager_decide,11104,116,0
63,dvfs_controller_set,22080,452,0
64,replay_buffer_add,456672,889,0
64,lag_feature_extract,84000,848,0
64,preference_plane_get,8608,156,0
